season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url	match_id
2016	8	leicester-city	Leicester	http://www.squawka.com/teams/leicester-city/stats	tottenham-hotspur	Spurs	http://www.squawka.com/teams/tottenham-hotspur/stats	1 - 6	1	6	Premier League	18th May 2017	http://epl.squawka.com/english-premier-league/18-05-2017/leicester-vs-spurs/matches	28883
2016	8	southampton	S'hampton	http://www.squawka.com/teams/southampton/stats	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	0 - 0	0	0	Premier League	17th May 2017	http://epl.squawka.com/english-premier-league/17-05-2017/s-hampton-vs-man-utd/matches	28826
2016	8	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	west-bromwich-albion	WBA	http://www.squawka.com/teams/west-bromwich-albion/stats	3 - 1	3	1	Premier League	16th May 2017	http://epl.squawka.com/english-premier-league/16-05-2017/man-city-vs-wba/matches	28885
2016	8	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	sunderland	Sunderland	http://www.squawka.com/teams/sunderland/stats	2 - 0	2	0	Premier League	16th May 2017	http://epl.squawka.com/english-premier-league/16-05-2017/arsenal-vs-sunderland/matches	28878
2016	8	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	watford	Watford	http://www.squawka.com/teams/watford/stats	4 - 3	4	3	Premier League	15th May 2017	http://epl.squawka.com/english-premier-league/15-05-2017/chelsea-vs-watford/matches	28820
2016	8	tottenham-hotspur	Spurs	http://www.squawka.com/teams/tottenham-hotspur/stats	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	2 - 1	2	1	Premier League	14th May 2017	http://epl.squawka.com/english-premier-league/14-05-2017/spurs-vs-man-utd/matches	28915
2016	8	west-ham-united	West Ham	http://www.squawka.com/teams/west-ham-united/stats	liverpool	Liverpool	http://www.squawka.com/teams/liverpool/stats	0 - 4	0	4	Premier League	14th May 2017	http://epl.squawka.com/english-premier-league/14-05-2017/west-ham-vs-liverpool/matches	28917
2016	8	crystal-palace	C. Palace	http://www.squawka.com/teams/crystal-palace/stats	hull-city	Hull City	http://www.squawka.com/teams/hull-city/stats	4 - 0	4	0	Premier League	14th May 2017	http://epl.squawka.com/english-premier-league/14-05-2017/cpalace-vs-hull-city/matches	28909
2016	8	stoke-city	Stoke	http://www.squawka.com/teams/stoke-city/stats	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	1 - 4	1	4	Premier League	13th May 2017	http://epl.squawka.com/english-premier-league/13-05-2017/stoke-vs-arsenal/matches	28913
2016	8	bournemouth	B'mouth	http://www.squawka.com/teams/bournemouth/stats	burnley	Burnley	http://www.squawka.com/teams/burnley/stats	2 - 1	2	1	Premier League	13th May 2017	http://epl.squawka.com/english-premier-league/13-05-2017/b-mouth-vs-burnley/matches	28908
2016	8	middlesbrough	M'brough	http://www.squawka.com/teams/middlesbrough/stats	southampton	S'hampton	http://www.squawka.com/teams/southampton/stats	1 - 2	1	2	Premier League	13th May 2017	http://epl.squawka.com/english-premier-league/13-05-2017/m-brough-vs-s-hampton/matches	28912
2016	8	sunderland	Sunderland	http://www.squawka.com/teams/sunderland/stats	swansea-city	Swansea	http://www.squawka.com/teams/swansea-city/stats	0 - 2	0	2	Premier League	13th May 2017	http://epl.squawka.com/english-premier-league/13-05-2017/sunderland-vs-swansea/matches	28914
2016	8	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	leicester-city	Leicester	http://www.squawka.com/teams/leicester-city/stats	2 - 1	2	1	Premier League	13th May 2017	http://epl.squawka.com/english-premier-league/13-05-2017/man-city-vs-leicester/matches	28911
2016	8	west-bromwich-albion	WBA	http://www.squawka.com/teams/west-bromwich-albion/stats	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	0 - 1	0	1	Premier League	12th May 2017	http://epl.squawka.com/english-premier-league/12-05-2017/wba-vs-chelsea/matches	28916
2016	8	everton	Everton	http://www.squawka.com/teams/everton/stats	watford	Watford	http://www.squawka.com/teams/watford/stats	1 - 0	1	0	Premier League	12th May 2017	http://epl.squawka.com/english-premier-league/12-05-2017/everton-vs-watford/matches	28910
2016	8	southampton	S'hampton	http://www.squawka.com/teams/southampton/stats	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	0 - 2	0	2	Premier League	10th May 2017	http://epl.squawka.com/english-premier-league/10-05-2017/s-hampton-vs-arsenal/matches	28804
2016	8	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	middlesbrough	M'brough	http://www.squawka.com/teams/middlesbrough/stats	3 - 0	3	0	Premier League	8th May 2017	http://epl.squawka.com/english-premier-league/08-05-2017/chelsea-vs-m-brough/matches	28901
2016	8	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	2 - 0	2	0	Premier League	7th May 2017	http://epl.squawka.com/english-premier-league/07-05-2017/arsenal-vs-man-utd/matches	28898
