season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url
2015	5	bayer-04-leverkusen	Leverkusen	http://www.squawka.com/teams/bayer-04-leverkusen/stats	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	1 - 1	1	1	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/leverkusen-vs-barcelona/matches
2015	5	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	fc-porto	Porto	http://www.squawka.com/teams/fc-porto/stats	2 - 0	2	0	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/chelsea-vs-porto/matches
2015	5	dinamo-zagreb	Zagreb	http://www.squawka.com/teams/dinamo-zagreb/stats	fc-bayern-munchen	Bayern	http://www.squawka.com/teams/fc-bayern-munchen/stats	0 - 2	0	2	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/zagreb-vs-bayern/matches
2015	5	dynamo-kyiv	D. Kyiv	http://www.squawka.com/teams/dynamo-kyiv/stats	maccabi-tel-aviv	Maccabi	http://www.squawka.com/teams/maccabi-tel-aviv/stats	1 - 0	1	0	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/dkyiv-vs-maccabi/matches
2015	5	kaa-gent	Gent	http://www.squawka.com/teams/kaa-gent/stats	zenit-st-petersburg	Zenit	http://www.squawka.com/teams/zenit-st-petersburg/stats	2 - 1	2	1	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/gent-vs-zenit/matches
2015	5	olympiakos	Olympiakos	http://www.squawka.com/teams/olympiakos/stats	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	0 - 3	0	3	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/olympiakos-vs-arsenal/matches
2015	5	roma	Roma	http://www.squawka.com/teams/roma/stats	bate-borisov	BATE	http://www.squawka.com/teams/bate-borisov/stats	0 - 0	0	0	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/roma-vs-bate/matches
2015	5	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	lyon	Lyon	http://www.squawka.com/teams/lyon/stats	0 - 2	0	2	Champions League	9th December 2015	http://champions-league.squawka.com/champions-league/09-12-2015/valencia-vs-lyon/matches
2015	5	benfica	Benfica	http://www.squawka.com/teams/benfica/stats	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	1 - 2	1	2	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/benfica-vs-atltico/matches
2015	5	galatasaray	Galatasaray	http://www.squawka.com/teams/galatasaray/stats	fc-astana	Astana	http://www.squawka.com/teams/fc-astana/stats	1 - 1	1	1	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/galatasaray-vs-astana/matches
2015	5	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	borussia-monchengladbach	M'gladbach	http://www.squawka.com/teams/borussia-monchengladbach/stats	4 - 2	4	2	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/man-city-vs-m-gladbach/matches
2015	5	psv	PSV	http://www.squawka.com/teams/psv/stats	cska-moscow	CSKA	http://www.squawka.com/teams/cska-moscow/stats	2 - 1	2	1	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/psv-vs-cska/matches
2015	5	paris-saint-germain	PSG	http://www.squawka.com/teams/paris-saint-germain/stats	shakhtar-donetsk	Shakhtar	http://www.squawka.com/teams/shakhtar-donetsk/stats	2 - 0	2	0	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/psg-vs-shakhtar/matches
2015	5	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	malmo-ff	Malmö FF	http://www.squawka.com/teams/malmo-ff/stats	8 - 0	8	0	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/r-madrid-vs-malm-ff/matches
2015	5	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	juventus	Juventus	http://www.squawka.com/teams/juventus/stats	1 - 0	1	0	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/sevilla-vs-juventus/matches
2015	5	vfl-wolfsburg	Wolfsburg	http://www.squawka.com/teams/vfl-wolfsburg/stats	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	3 - 2	3	2	Champions League	8th December 2015	http://champions-league.squawka.com/champions-league/08-12-2015/wolfsburg-vs-man-utd/matches
2015	5	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	galatasaray	Galatasaray	http://www.squawka.com/teams/galatasaray/stats	2 - 0	2	0	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/atltico-vs-galatasaray/matches
2015	5	borussia-monchengladbach	M'gladbach	http://www.squawka.com/teams/borussia-monchengladbach/stats	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	4 - 2	4	2	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/m-gladbach-vs-sevilla/matches
2015	5	juventus	Juventus	http://www.squawka.com/teams/juventus/stats	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	1 - 0	1	0	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/juventus-vs-man-city/matches
2015	5	malmo-ff	Malmö FF	http://www.squawka.com/teams/malmo-ff/stats	paris-saint-germain	PSG	http://www.squawka.com/teams/paris-saint-germain/stats	0 - 5	0	5	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/malm-ff-vs-psg/matches
2015	5	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	psv	PSV	http://www.squawka.com/teams/psv/stats	0 - 0	0	0	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/man-utd-vs-psv/matches
2015	5	shakhtar-donetsk	Shakhtar	http://www.squawka.com/teams/shakhtar-donetsk/stats	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	3 - 4	3	4	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/shakhtar-vs-r-madrid/matches
2015	5	cska-moscow	CSKA	http://www.squawka.com/teams/cska-moscow/stats	vfl-wolfsburg	Wolfsburg	http://www.squawka.com/teams/vfl-wolfsburg/stats	0 - 2	0	2	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/cska-vs-wolfsburg/matches
2015	5	fc-astana	Astana	http://www.squawka.com/teams/fc-astana/stats	benfica	Benfica	http://www.squawka.com/teams/benfica/stats	2 - 2	2	2	Champions League	25th November 2015	http://champions-league.squawka.com/champions-league/25-11-2015/astana-vs-benfica/matches
2015	5	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	dinamo-zagreb	Zagreb	http://www.squawka.com/teams/dinamo-zagreb/stats	3 - 0	3	0	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/arsenal-vs-zagreb/matches
2015	5	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	roma	Roma	http://www.squawka.com/teams/roma/stats	6 - 1	6	1	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/barcelona-vs-roma/matches
2015	5	fc-bayern-munchen	Bayern	http://www.squawka.com/teams/fc-bayern-munchen/stats	olympiakos	Olympiakos	http://www.squawka.com/teams/olympiakos/stats	4 - 0	4	0	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/bayern-vs-olympiakos/matches
2015	5	fc-porto	Porto	http://www.squawka.com/teams/fc-porto/stats	dynamo-kyiv	D. Kyiv	http://www.squawka.com/teams/dynamo-kyiv/stats	0 - 2	0	2	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/porto-vs-dkyiv/matches
2015	5	lyon	Lyon	http://www.squawka.com/teams/lyon/stats	kaa-gent	Gent	http://www.squawka.com/teams/kaa-gent/stats	1 - 2	1	2	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/lyon-vs-gent/matches
2015	5	maccabi-tel-aviv	Maccabi	http://www.squawka.com/teams/maccabi-tel-aviv/stats	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	0 - 4	0	4	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/maccabi-vs-chelsea/matches
2015	5	bate-borisov	BATE	http://www.squawka.com/teams/bate-borisov/stats	bayer-04-leverkusen	Leverkusen	http://www.squawka.com/teams/bayer-04-leverkusen/stats	1 - 1	1	1	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/bate-vs-leverkusen/matches
2015	5	zenit-st-petersburg	Zenit	http://www.squawka.com/teams/zenit-st-petersburg/stats	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	2 - 0	2	0	Champions League	24th November 2015	http://champions-league.squawka.com/champions-league/24-11-2015/zenit-vs-valencia/matches
2015	5	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	bate-borisov	BATE	http://www.squawka.com/teams/bate-borisov/stats	3 - 0	3	0	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/barcelona-vs-bate/matches
2015	5	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	dynamo-kyiv	D. Kyiv	http://www.squawka.com/teams/dynamo-kyiv/stats	2 - 1	2	1	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/chelsea-vs-dkyiv/matches
2015	5	fc-bayern-munchen	Bayern	http://www.squawka.com/teams/fc-bayern-munchen/stats	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	5 - 1	5	1	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/bayern-vs-arsenal/matches
2015	5	kaa-gent	Gent	http://www.squawka.com/teams/kaa-gent/stats	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	1 - 0	1	0	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/gent-vs-valencia/matches
2015	5	lyon	Lyon	http://www.squawka.com/teams/lyon/stats	zenit-st-petersburg	Zenit	http://www.squawka.com/teams/zenit-st-petersburg/stats	0 - 2	0	2	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/lyon-vs-zenit/matches
2015	5	maccabi-tel-aviv	Maccabi	http://www.squawka.com/teams/maccabi-tel-aviv/stats	fc-porto	Porto	http://www.squawka.com/teams/fc-porto/stats	1 - 3	1	3	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/maccabi-vs-porto/matches
2015	5	olympiakos	Olympiakos	http://www.squawka.com/teams/olympiakos/stats	dinamo-zagreb	Zagreb	http://www.squawka.com/teams/dinamo-zagreb/stats	2 - 1	2	1	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/olympiakos-vs-zagreb/matches
2015	5	roma	Roma	http://www.squawka.com/teams/roma/stats	bayer-04-leverkusen	Leverkusen	http://www.squawka.com/teams/bayer-04-leverkusen/stats	3 - 2	3	2	Champions League	4th November 2015	http://champions-league.squawka.com/champions-league/04-11-2015/roma-vs-leverkusen/matches
2015	5	benfica	Benfica	http://www.squawka.com/teams/benfica/stats	galatasaray	Galatasaray	http://www.squawka.com/teams/galatasaray/stats	2 - 1	2	1	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/benfica-vs-galatasaray/matches
2015	5	borussia-monchengladbach	M'gladbach	http://www.squawka.com/teams/borussia-monchengladbach/stats	juventus	Juventus	http://www.squawka.com/teams/juventus/stats	1 - 1	1	1	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/m-gladbach-vs-juventus/matches
2015	5	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	cska-moscow	CSKA	http://www.squawka.com/teams/cska-moscow/stats	1 - 0	1	0	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/man-utd-vs-cska/matches
2015	5	psv	PSV	http://www.squawka.com/teams/psv/stats	vfl-wolfsburg	Wolfsburg	http://www.squawka.com/teams/vfl-wolfsburg/stats	2 - 0	2	0	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/psv-vs-wolfsburg/matches
2015	5	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	paris-saint-germain	PSG	http://www.squawka.com/teams/paris-saint-germain/stats	1 - 0	1	0	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/r-madrid-vs-psg/matches
2015	5	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	1 - 3	1	3	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/sevilla-vs-man-city/matches
2015	5	shakhtar-donetsk	Shakhtar	http://www.squawka.com/teams/shakhtar-donetsk/stats	malmo-ff	Malmö FF	http://www.squawka.com/teams/malmo-ff/stats	4 - 0	4	0	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/shakhtar-vs-malm-ff/matches
2015	5	fc-astana	Astana	http://www.squawka.com/teams/fc-astana/stats	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	0 - 0	0	0	Champions League	3rd November 2015	http://champions-league.squawka.com/champions-league/03-11-2015/astana-vs-atltico/matches
2015	5	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	fc-astana	Astana	http://www.squawka.com/teams/fc-astana/stats	4 - 0	4	0	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/atltico-vs-astana/matches
2015	5	cska-moscow	CSKA	http://www.squawka.com/teams/cska-moscow/stats	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	1 - 1	1	1	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/cska-vs-man-utd/matches
2015	5	galatasaray	Galatasaray	http://www.squawka.com/teams/galatasaray/stats	benfica	Benfica	http://www.squawka.com/teams/benfica/stats	2 - 1	2	1	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/galatasaray-vs-benfica/matches
2015	5	juventus	Juventus	http://www.squawka.com/teams/juventus/stats	borussia-monchengladbach	M'gladbach	http://www.squawka.com/teams/borussia-monchengladbach/stats	0 - 0	0	0	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/juventus-vs-m-gladbach/matches
2015	5	malmo-ff	Malmö FF	http://www.squawka.com/teams/malmo-ff/stats	shakhtar-donetsk	Shakhtar	http://www.squawka.com/teams/shakhtar-donetsk/stats	1 - 0	1	0	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/malm-ff-vs-shakhtar/matches
2015	5	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	2 - 1	2	1	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/man-city-vs-sevilla/matches
2015	5	paris-saint-germain	PSG	http://www.squawka.com/teams/paris-saint-germain/stats	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	0 - 0	0	0	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/psg-vs-r-madrid/matches
2015	5	vfl-wolfsburg	Wolfsburg	http://www.squawka.com/teams/vfl-wolfsburg/stats	psv	PSV	http://www.squawka.com/teams/psv/stats	2 - 0	2	0	Champions League	21st October 2015	http://champions-league.squawka.com/champions-league/21-10-2015/wolfsburg-vs-psv/matches
2015	5	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	fc-bayern-munchen	Bayern	http://www.squawka.com/teams/fc-bayern-munchen/stats	2 - 0	2	0	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/arsenal-vs-bayern/matches
2015	5	bate-borisov	BATE	http://www.squawka.com/teams/bate-borisov/stats	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	0 - 2	0	2	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/bate-vs-barcelona/matches
2015	5	bayer-04-leverkusen	Leverkusen	http://www.squawka.com/teams/bayer-04-leverkusen/stats	roma	Roma	http://www.squawka.com/teams/roma/stats	4 - 4	4	4	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/leverkusen-vs-roma/matches
2015	5	dinamo-zagreb	Zagreb	http://www.squawka.com/teams/dinamo-zagreb/stats	olympiakos	Olympiakos	http://www.squawka.com/teams/olympiakos/stats	0 - 1	0	1	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/zagreb-vs-olympiakos/matches
2015	5	dynamo-kyiv	D. Kyiv	http://www.squawka.com/teams/dynamo-kyiv/stats	chelsea	Chelsea	http://www.squawka.com/teams/chelsea/stats	0 - 0	0	0	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/dkyiv-vs-chelsea/matches
2015	5	fc-porto	Porto	http://www.squawka.com/teams/fc-porto/stats	maccabi-tel-aviv	Maccabi	http://www.squawka.com/teams/maccabi-tel-aviv/stats	2 - 0	2	0	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/porto-vs-maccabi/matches
2015	5	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	kaa-gent	Gent	http://www.squawka.com/teams/kaa-gent/stats	2 - 1	2	1	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/valencia-vs-gent/matches
2015	5	zenit-st-petersburg	Zenit	http://www.squawka.com/teams/zenit-st-petersburg/stats	lyon	Lyon	http://www.squawka.com/teams/lyon/stats	3 - 1	3	1	Champions League	20th October 2015	http://champions-league.squawka.com/champions-league/20-10-2015/zenit-vs-lyon/matches
2015	5	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	benfica	Benfica	http://www.squawka.com/teams/benfica/stats	1 - 2	1	2	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/atltico-vs-benfica/matches
2015	5	borussia-monchengladbach	M'gladbach	http://www.squawka.com/teams/borussia-monchengladbach/stats	manchester-city	Man City	http://www.squawka.com/teams/manchester-city/stats	1 - 2	1	2	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/m-gladbach-vs-man-city/matches
2015	5	cska-moscow	CSKA	http://www.squawka.com/teams/cska-moscow/stats	psv	PSV	http://www.squawka.com/teams/psv/stats	3 - 2	3	2	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/cska-vs-psv/matches
2015	5	juventus	Juventus	http://www.squawka.com/teams/juventus/stats	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	2 - 0	2	0	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/juventus-vs-sevilla/matches
2015	5	malmo-ff	Malmö FF	http://www.squawka.com/teams/malmo-ff/stats	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	0 - 2	0	2	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/malm-ff-vs-r-madrid/matches
2015	5	manchester-united	Man Utd	http://www.squawka.com/teams/manchester-united/stats	vfl-wolfsburg	Wolfsburg	http://www.squawka.com/teams/vfl-wolfsburg/stats	2 - 1	2	1	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/man-utd-vs-wolfsburg/matches
2015	5	shakhtar-donetsk	Shakhtar	http://www.squawka.com/teams/shakhtar-donetsk/stats	paris-saint-germain	PSG	http://www.squawka.com/teams/paris-saint-germain/stats	0 - 3	0	3	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/shakhtar-vs-psg/matches
2015	5	fc-astana	Astana	http://www.squawka.com/teams/fc-astana/stats	galatasaray	Galatasaray	http://www.squawka.com/teams/galatasaray/stats	2 - 2	2	2	Champions League	30th September 2015	http://champions-league.squawka.com/champions-league/30-09-2015/astana-vs-galatasaray/matches
2015	5	arsenal	Arsenal	http://www.squawka.com/teams/arsenal/stats	olympiakos	Olympiakos	http://www.squawka.com/teams/olympiakos/stats	2 - 3	2	3	Champions League	29th September 2015	http://champions-league.squawka.com/champions-league/29-09-2015/arsenal-vs-olympiakos/matches
2015	5	bate-borisov	BATE	http://www.squawka.com/teams/bate-borisov/stats	roma	Roma	http://www.squawka.com/teams/roma/stats	3 - 2	3	2	Champions League	29th September 2015	http://champions-league.squawka.com/champions-league/29-09-2015/bate-vs-roma/matches
