season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url	match_id
2016	10	birmingham-city	B'ham City	http://www.squawka.com/teams/birmingham-city/stats	sheffield-wednesday	Sheff W'day	http://www.squawka.com/teams/sheffield-wednesday/stats	2 - 1	2	1	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/b-ham-city-vs-sheff-w-day/matches	29013
2016	10	barnsley	Barnsley	http://www.squawka.com/teams/barnsley/stats	reading	Reading	http://www.squawka.com/teams/reading/stats	1 - 2	1	2	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/barnsley-vs-reading/matches	29012
2016	10	blackburn-rovers	Blackburn	http://www.squawka.com/teams/blackburn-rovers/stats	rotherham-united	Rotherham	http://www.squawka.com/teams/rotherham-united/stats	4 - 2	4	2	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/blackburn-vs-rotherham/matches	29014
2016	10	brentford	Brentford	http://www.squawka.com/teams/brentford/stats	preston-north-end	Preston North E...	http://www.squawka.com/teams/preston-north-end/stats	5 - 0	5	0	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/brentford-vs-preston-north-end/matches	29015
2016	10	bristol-city	Bristol	http://www.squawka.com/teams/bristol-city/stats	derby-county	Derby	http://www.squawka.com/teams/derby-county/stats	1 - 1	1	1	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/bristol-vs-derby/matches	29016
2016	10	burton-albion	Burton Albion	http://www.squawka.com/teams/burton-albion/stats	brighton-and-hove-albion	Brighton	http://www.squawka.com/teams/brighton-and-hove-albion/stats	0 - 1	0	1	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/burton-albion-vs-brighton/matches	29017
2016	10	huddersfield-town	Hudd Town	http://www.squawka.com/teams/huddersfield-town/stats	queens-park-rangers	QPR	http://www.squawka.com/teams/queens-park-rangers/stats	2 - 1	2	1	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/hudd-town-vs-qpr/matches	29019
2016	10	ipswich-town	Ipswich	http://www.squawka.com/teams/ipswich-town/stats	aston-villa	A. Villa	http://www.squawka.com/teams/aston-villa/stats	0 - 0	0	0	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/ipswich-vs-avilla/matches	29020
2016	10	newcastle-united	Newcastle	http://www.squawka.com/teams/newcastle-united/stats	wolverhampton-wanderers	Wolves	http://www.squawka.com/teams/wolverhampton-wanderers/stats	0 - 2	0	2	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/newcastle-vs-wolves/matches	29021
2016	10	nottingham-forest	Forest	http://www.squawka.com/teams/nottingham-forest/stats	norwich-city	Norwich	http://www.squawka.com/teams/norwich-city/stats	1 - 2	1	2	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/forest-vs-norwich/matches	29022
2016	10	wigan-athletic	Wigan	http://www.squawka.com/teams/wigan-athletic/stats	fulham	Fulham	http://www.squawka.com/teams/fulham/stats	0 - 0	0	0	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/wigan-vs-fulham/matches	29023
2016	10	cardiff-city	Cardiff	http://www.squawka.com/teams/cardiff-city/stats	leeds-united	Leeds	http://www.squawka.com/teams/leeds-united/stats	0 - 2	0	2	Championship	17th September 2016	http://championship.squawka.com/english-football-league-championship/17-09-2016/cardiff-vs-leeds/matches	29018
2016	10	aston-villa	A. Villa	http://www.squawka.com/teams/aston-villa/stats	brentford	Brentford	http://www.squawka.com/teams/brentford/stats	1 - 1	1	1	Championship	14th September 2016	http://championship.squawka.com/english-football-league-championship/14-09-2016/avilla-vs-brentford/matches	29010
2016	10	rotherham-united	Rotherham	http://www.squawka.com/teams/rotherham-united/stats	nottingham-forest	Forest	http://www.squawka.com/teams/nottingham-forest/stats	2 - 2	2	2	Championship	14th September 2016	http://championship.squawka.com/english-football-league-championship/14-09-2016/rotherham-vs-forest/matches	29011
2016	10	reading	Reading	http://www.squawka.com/teams/reading/stats	birmingham-city	B'ham City	http://www.squawka.com/teams/birmingham-city/stats	0 - 0	0	0	Championship	13th September 2016	http://championship.squawka.com/english-football-league-championship/13-09-2016/reading-vs-b-ham-city/matches	29007
2016	10	brighton-and-hove-albion	Brighton	http://www.squawka.com/teams/brighton-and-hove-albion/stats	huddersfield-town	Hudd Town	http://www.squawka.com/teams/huddersfield-town/stats	1 - 0	1	0	Championship	13th September 2016	http://championship.squawka.com/english-football-league-championship/13-09-2016/brighton-vs-hudd-town/matches	29000
