season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url
2014	23	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	getafe	Getafe	http://www.squawka.com/teams/getafe/stats	7 - 3	7	3	La Liga	23rd May 2015	http://la-liga.squawka.com/real-madrid-vs-getafe/23-05-2015/spanish-la-liga/matches
2014	23	almeria	Almería	http://www.squawka.com/teams/almeria/stats	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	2 - 3	2	3	La Liga	23rd May 2015	http://la-liga.squawka.com/almeria-vs-valencia-cf/23-05-2015/spanish-la-liga/matches
2014	23	athletic-club	Athletic	http://www.squawka.com/teams/athletic-club/stats	villarreal	Villarreal	http://www.squawka.com/teams/villarreal/stats	4 - 0	4	0	La Liga	23rd May 2015	http://la-liga.squawka.com/athletic-club-vs-villarreal/23-05-2015/spanish-la-liga/matches
2014	23	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	deportivo-de-la-coruna	Deportivo	http://www.squawka.com/teams/deportivo-de-la-coruna/stats	2 - 2	2	2	La Liga	23rd May 2015	http://la-liga.squawka.com/barcelona-vs-deportivo-de-la-coruna/23-05-2015/spanish-la-liga/matches
2014	23	celta-de-vigo	Celta	http://www.squawka.com/teams/celta-de-vigo/stats	espanyol	Espanyol	http://www.squawka.com/teams/espanyol/stats	3 - 2	3	2	La Liga	23rd May 2015	http://la-liga.squawka.com/celta-de-vigo-vs-espanyol/23-05-2015/spanish-la-liga/matches
2014	23	eibar	Eibar	http://www.squawka.com/teams/eibar/stats	cordoba	Córdoba	http://www.squawka.com/teams/cordoba/stats	3 - 0	3	0	La Liga	23rd May 2015	http://la-liga.squawka.com/eibar-vs-cordoba/23-05-2015/spanish-la-liga/matches
2014	23	granada-cf	Granada	http://www.squawka.com/teams/granada-cf/stats	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	0 - 0	0	0	La Liga	23rd May 2015	http://la-liga.squawka.com/granada-cf-vs-atletico-de-madrid/23-05-2015/spanish-la-liga/matches
2014	23	malaga	Málaga	http://www.squawka.com/teams/malaga/stats	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	2 - 3	2	3	La Liga	23rd May 2015	http://la-liga.squawka.com/malaga-vs-sevilla/23-05-2015/spanish-la-liga/matches
2014	23	rayo-vallecano	Vallecano	http://www.squawka.com/teams/rayo-vallecano/stats	real-sociedad	Sociedad	http://www.squawka.com/teams/real-sociedad/stats	2 - 4	2	4	La Liga	23rd May 2015	http://la-liga.squawka.com/rayo-vallecano-vs-real-sociedad/23-05-2015/spanish-la-liga/matches
2014	23	levante	Levante	http://www.squawka.com/teams/levante/stats	elche	Elche	http://www.squawka.com/teams/elche/stats	0 - 0	0	0	La Liga	23rd May 2015	http://la-liga.squawka.com/levante-vs-elche/23-05-2015/spanish-la-liga/matches
