season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url
2015	98	columbus-crew	Columbus	http://www.squawka.com/teams/columbus-crew/stats	portland-timbers	Timbers	http://www.squawka.com/teams/portland-timbers/stats	1 - 2	1	2	MLS	6th December 2015	http://mls.squawka.com/us-major-league-soccer/06-12-2015/columbus-vs-timbers/matches
2015	98	new-york-red-bulls	Red Bulls	http://www.squawka.com/teams/new-york-red-bulls/stats	columbus-crew	Columbus	http://www.squawka.com/teams/columbus-crew/stats	1 - 0	1	0	MLS	30th November 2015	http://mls.squawka.com/us-major-league-soccer/30-11-2015/red-bulls-vs-columbus/matches
2015	98	fc-dallas	FC Dallas	http://www.squawka.com/teams/fc-dallas/stats	portland-timbers	Timbers	http://www.squawka.com/teams/portland-timbers/stats	2 - 2	2	2	MLS	29th November 2015	http://mls.squawka.com/us-major-league-soccer/29-11-2015/fc-dallas-vs-timbers/matches
2015	98	portland-timbers	Timbers	http://www.squawka.com/teams/portland-timbers/stats	fc-dallas	FC Dallas	http://www.squawka.com/teams/fc-dallas/stats	3 - 1	3	1	MLS	23rd November 2015	http://mls.squawka.com/us-major-league-soccer/23-11-2015/timbers-vs-fc-dallas/matches
2015	98	columbus-crew	Columbus	http://www.squawka.com/teams/columbus-crew/stats	new-york-red-bulls	Red Bulls	http://www.squawka.com/teams/new-york-red-bulls/stats	2 - 0	2	0	MLS	22nd November 2015	http://mls.squawka.com/us-major-league-soccer/22-11-2015/columbus-vs-red-bulls/matches
2015	98	vancouver-whitecaps	Whitecaps	http://www.squawka.com/teams/vancouver-whitecaps/stats	portland-timbers	Timbers	http://www.squawka.com/teams/portland-timbers/stats	0 - 2	0	2	MLS	9th November 2015	http://mls.squawka.com/us-major-league-soccer/09-11-2015/whitecaps-vs-timbers/matches
2015	98	fc-dallas	FC Dallas	http://www.squawka.com/teams/fc-dallas/stats	seattle-sounders-fc	Sounders	http://www.squawka.com/teams/seattle-sounders-fc/stats	6 - 3	6	3	MLS	9th November 2015	http://mls.squawka.com/us-major-league-soccer/09-11-2015/fc-dallas-vs-sounders/matches
2015	98	columbus-crew	Columbus	http://www.squawka.com/teams/columbus-crew/stats	montreal-impact	Montreal	http://www.squawka.com/teams/montreal-impact/stats	2 - 1	2	1	MLS	8th November 2015	http://mls.squawka.com/us-major-league-soccer/08-11-2015/columbus-vs-montreal/matches
2015	98	new-york-red-bulls	Red Bulls	http://www.squawka.com/teams/new-york-red-bulls/stats	d.c.-united	D.C. United	http://www.squawka.com/teams/d.c.-united/stats	1 - 0	1	0	MLS	8th November 2015	http://mls.squawka.com/us-major-league-soccer/08-11-2015/red-bulls-vs-d-cunited/matches
2015	98	seattle-sounders-fc	Sounders	http://www.squawka.com/teams/seattle-sounders-fc/stats	fc-dallas	FC Dallas	http://www.squawka.com/teams/fc-dallas/stats	2 - 1	2	1	MLS	2nd November 2015	http://mls.squawka.com/us-major-league-soccer/02-11-2015/sounders-vs-fc-dallas/matches
