season_id	league_id	home_team_id	home_team_name	home_team_url	away_team_id	away_team_name	away_team_url	result	home_goals	away_goals	league_name	game_date	match_url	match_id
2016	23	athletic-club	Athletic	http://www.squawka.com/teams/athletic-club/stats	malaga	Málaga	http://www.squawka.com/teams/malaga/stats	1 - 0	1	0	La Liga	5th March 2017	http://la-liga.squawka.com/spanish-la-liga/05-03-2017/athletic-vs-mlaga/matches	30417
2016	23	las-palmas	Las Palmas	http://www.squawka.com/teams/las-palmas/stats	osasuna	Osasuna	http://www.squawka.com/teams/osasuna/stats	5 - 2	5	2	La Liga	5th March 2017	http://la-liga.squawka.com/spanish-la-liga/05-03-2017/las-palmas-vs-osasuna/matches	30421
2016	23	atletico-de-madrid	Atlético	http://www.squawka.com/teams/atletico-de-madrid/stats	valencia-cf	Valencia	http://www.squawka.com/teams/valencia-cf/stats	3 - 0	3	0	La Liga	5th March 2017	http://la-liga.squawka.com/spanish-la-liga/05-03-2017/atltico-vs-valencia/matches	30418
2016	23	sporting-de-gijon	Sporting de Gij...	http://www.squawka.com/teams/sporting-de-gijon/stats	deportivo-de-la-coruna	Deportivo	http://www.squawka.com/teams/deportivo-de-la-coruna/stats	0 - 1	0	1	La Liga	5th March 2017	http://la-liga.squawka.com/spanish-la-liga/05-03-2017/sporting-de-gijn-vs-deportivo/matches	30424
2016	23	barcelona	Barcelona	http://www.squawka.com/teams/barcelona/stats	celta-de-vigo	Celta	http://www.squawka.com/teams/celta-de-vigo/stats	5 - 0	5	0	La Liga	4th March 2017	http://la-liga.squawka.com/spanish-la-liga/04-03-2017/barcelona-vs-celta/matches	30419
2016	23	villarreal	Villarreal	http://www.squawka.com/teams/villarreal/stats	espanyol	Espanyol	http://www.squawka.com/teams/espanyol/stats	2 - 0	2	0	La Liga	4th March 2017	http://la-liga.squawka.com/spanish-la-liga/04-03-2017/villarreal-vs-espanyol/matches	30425
2016	23	eibar	Eibar	http://www.squawka.com/teams/eibar/stats	real-madrid	R Madrid	http://www.squawka.com/teams/real-madrid/stats	1 - 4	1	4	La Liga	4th March 2017	http://la-liga.squawka.com/spanish-la-liga/04-03-2017/eibar-vs-r-madrid/matches	30420
2016	23	leganes	Leganés	http://www.squawka.com/teams/leganes/stats	granada-cf	Granada	http://www.squawka.com/teams/granada-cf/stats	1 - 0	1	0	La Liga	4th March 2017	http://la-liga.squawka.com/spanish-la-liga/04-03-2017/legans-vs-granada/matches	30422
2016	23	real-betis	Betis	http://www.squawka.com/teams/real-betis/stats	real-sociedad	Sociedad	http://www.squawka.com/teams/real-sociedad/stats	2 - 3	2	3	La Liga	3rd March 2017	http://la-liga.squawka.com/spanish-la-liga/03-03-2017/betis-vs-sociedad/matches	30423
2016	23	sevilla	Sevilla	http://www.squawka.com/teams/sevilla/stats	athletic-club	Athletic	http://www.squawka.com/teams/athletic-club/stats	1 - 0	1	0	La Liga	2nd March 2017	http://la-liga.squawka.com/spanish-la-liga/02-03-2017/sevilla-vs-athletic/matches	30414
