name,firstName,lastName,playerId,height,weight,age,isManOfTheMatch,isActive,isOpta,playedPositions,positionText,playedPositionsShort,teamId,teamName,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,rating,ranking,apps,subOn,minsPlayed,manOfTheMatch,yellowCard,redCard,goal,assistTotal,shotsPerGame,aerialWonPerGame,passSuccess
Senad Lulic,Senad,Lulic,26168,183,78,31,false,true,true,-DL-MC-ML-,Midfielder,"D(L),M(CL)",77,Lazio,6461,2016/2017,5,108,it,ba,Serie A,ISA,7.298636363636362,104,22,2,1726,2,6.0,0.0,2,5,0.9545454545454546,0.9545454545454546,78.74852420306966
Mitchell Weiser,Mitchell,Weiser,108914,176,67,22,false,true,true,-DR-MR-,Defender,"D(R),M(R)",47,Hertha Berlin,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.2975,105,12,1,897,2,1.0,0.0,1,4,0.4166666666666667,0.6666666666666666,69.14285714285714
Christian Benteke,Christian,Benteke,68312,190,83,26,false,true,true,-FW-,Forward,FW,162,Crystal Palace,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.295217391304349,106,23,0,1998,4,5.0,0.0,9,1,2.652173913043478,9.217391304347826,60.43613707165109
Diego Perotti,Diego,Perotti,31388,179,70,28,false,true,true,-FW-MC-ML-MR-,Forward,"M(CLR),FW",84,Roma,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.291499999999999,107,20,5,1260,1,0.0,0.0,6,4,1.35,0.35,81.23791102514507
Allan Saint-Maximin,Allan,Saint-Maximin,135891,173,67,19,false,true,true,-AMC-AMR-,Midfielder,AM(CR),310,SC Bastia,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.289999999999998,108,22,2,1798,2,1.0,1.0,3,2,2.409090909090909,0.8181818181818182,79.78910369068541
Casemiro,Carlos Henrique Jose,Francisco Venancio,88526,184,80,25,false,true,true,-DMC-,Midfielder,DMC,52,Real Madrid,6436,2016/2017,4,206,es,br,La Liga,SLL,7.285833333333334,109,12,2,882,0,4.0,0.0,1,0,0.6666666666666666,2.1666666666666665,86.6779089376054
José Callejón,José,Callejón,67206,178,73,30,false,true,true,-ML-MR-,Forward,M(LR),276,Napoli,6461,2016/2017,5,108,it,es,Serie A,ISA,7.281666666666666,110,24,0,2003,2,2.0,1.0,8,9,2.5833333333333335,0.4166666666666667,85.05263157894737
Neymar,Neymar da Silva,Santos Júnior,50835,175,68,25,false,true,true,-AMC-AML-AMR-FW-,Forward,"AM(CLR),FW",65,Barcelona,6436,2016/2017,4,206,es,br,La Liga,SLL,8.333157894736843,1,19,0,1707,4,5.0,0.0,6,7,3.1578947368421053,0.2631578947368421,75.7126567844926
Lionel Messi,Lionel,Messi,11119,170,72,29,false,true,true,-AMC-AMR-FW-,Forward,"AM(CR),FW",65,Barcelona,6436,2016/2017,4,206,es,ar,La Liga,SLL,8.269499999999999,2,20,2,1629,8,3.0,0.0,19,4,4.9,0.15,80.46709129511677
Thiago Alcántara,Thiago,Alcántara do Nascimento,74939,174,70,25,false,true,true,-MC-,Midfielder,M(C),37,Bayern Munich,6392,2016/2017,3,81,de,es,Bundesliga,GB,8.032352941176471,3,17,1,1460,3,3.0,0.0,3,3,1.3529411764705883,1.7058823529411764,90.51777916406736
Alexis Sánchez,Alexis,Sánchez,25244,169,62,28,false,true,true,-FW-ML-MR-,Forward,"M(LR),FW",13,Arsenal,6335,2016/2017,2,252,gb-eng,cl,Premier League,EPL,7.905999999999998,4,25,1,2146,7,5.0,0.0,17,8,3.64,0.4,73.66447985004686
Eden Hazard,Eden,Hazard,33404,173,74,26,false,true,true,-FW-MC-ML-MR-,Midfielder,"M(CLR),FW",15,Chelsea,6335,2016/2017,2,252,gb-eng,be,Premier League,EPL,7.85875,5,24,0,2010,9,2.0,0.0,10,3,2.2083333333333335,0.5833333333333334,83.93913778529163
